new pdp url,old image url,display order,image type,old position,product
https://www.damensch.com/p/sleeveless-shapewear-vest-crisp-white,https://img.damensch.com/products-old/catalog-shapewear-2-0-evised-white-sl-7.jpg,7,Before / After results + return guarantee,2,Sleeveless Shapewear Vest – Crisp White
https://www.damensch.com/p/sleeveless-shapewear-vest-crisp-white,https://img.damensch.com/products-old/catalog-shapewear-2-0-evised-white-sl-5.jpg,8,Feature: super-stretchy proof (vs tee),6,Sleeveless Shapewear Vest – Crisp White
https://www.damensch.com/p/sleeveless-shapewear-vest-crisp-white,https://img.damensch.com/products-old/catalog-shapewear-new-s-size.jpg,9,Size chart,8,Sleeveless Shapewear Vest – Crisp White
https://www.damensch.com/p/sleeveless-shapewear-vest-crisp-white,https://img.damensch.com/products-old/catalog-shapewear-2-0-evised-white-sl-10.jpg,10,FAQ section,9,Sleeveless Shapewear Vest – Crisp White
https://www.damensch.com/p/deo-soft-trunks-klinttblack,https://img.damensch.com/products-old/catalogue-trunk-packs-kb-kb-kb-1.jpg,6,Front – model + pack of 3,1,Deo Soft Trunks – Klint Black
https://www.damensch.com/p/deo-soft-trunks-klinttblack,https://img.damensch.com/products-old/card-ds-t-solid-feature1.jpg,7,Feature: fabric benefits (soft/moisture/durable),3,Deo Soft Trunks – Klint Black
https://www.damensch.com/p/deo-soft-trunks-klinttblack,https://img.damensch.com/products-old/card-ds-t-solid-feature2.jpg,8,Feature: 5x odour + sustainability,4,Deo Soft Trunks – Klint Black
https://www.damensch.com/p/deo-soft-trunks-klinttblack,https://img.damensch.com/products-old/catalogue-trunk-packs-kb-kb-kb-3.jpg,9,Side – model,5,Deo Soft Trunks – Klint Black
https://www.damensch.com/p/deo-soft-trunks-klinttblack,https://img.damensch.com/products-old/catalogue-trunk-packs-kb-kb-kb-5.jpg,10,Feature: moisture-wick mesh,7,Deo Soft Trunks – Klint Black
https://www.damensch.com/p/deo-soft-trunks-klinttblack,https://img.damensch.com/products-old/card-ds-t-solid-range.jpg,11,Comparison: Deo-Soft vs Deo-Cotton,10,Deo Soft Trunks – Klint Black
https://www.damensch.com/p/deo-soft-trunks-klinttblack,https://img.damensch.com/products-old/card-ds-t-solid-measurement.jpg,12,Size chart,11,Deo Soft Trunks – Klint Black
