new pdp url,old image url,display order,image type,old position,product
https://www.damensch.com/p/sleeveless-shapewear-vest-crisp-white,https://img.damensch.com/products-old/catalog-shapewear-2-0-evised-white-sl-5.jpg,7,Super stretchy / targeted compression,6,Sleeveless Shapewear Vest Crisp White
https://www.damensch.com/p/sleeveless-shapewear-vest-crisp-white,https://img.damensch.com/products-old/catalog-shapewear-new-s-size.jpg,8,Size chart,8,Sleeveless Shapewear Vest Crisp White
https://www.damensch.com/p/sleeveless-shapewear-vest-crisp-white,https://img.damensch.com/products-old/catalog-shapewear-2-0-evised-white-sl-10.jpg,9,FAQ,9,Sleeveless Shapewear Vest Crisp White
https://www.damensch.com/p/form-shapewear-trunk-sculpt-black,https://img.damensch.com/products-old/shapewear-trunk-howtowear-card.jpg,6,How to wear guide,6,Form Shapewear Trunk Sculpt Black
https://www.damensch.com/p/form-shapewear-trunk-sculpt-black,https://img.damensch.com/products-old/shapewear-trunk-measurement.jpg,7,Size chart,7,Form Shapewear Trunk Sculpt Black
https://www.damensch.com/p/sleeveless-shapewear-vest-sculpt-beige,https://img.damensch.com/products-old/catalog-shapewear-2-0-evised-beige-7.jpg,7,Before/After + 30 days return,2,Sleeveless Shapewear Vest Sculpt Beige
https://www.damensch.com/p/sleeveless-shapewear-vest-sculpt-beige,https://img.damensch.com/products-old/catalog-shapewear-2-0-evised-beige-2.jpg,8,Feature: 98% chest reduction,3,Sleeveless Shapewear Vest Sculpt Beige
https://www.damensch.com/p/sleeveless-shapewear-vest-sculpt-beige,https://img.damensch.com/products-old/formshapewear2-0-card-new.jpg,9,How to wear / remove,7,Sleeveless Shapewear Vest Sculpt Beige
https://www.damensch.com/p/sleeveless-shapewear-vest-sculpt-beige,https://img.damensch.com/products-old/catalog-shapewear-new-s-size.jpg,10,Size chart,8,Sleeveless Shapewear Vest Sculpt Beige
https://www.damensch.com/p/sleeveless-shapewear-vest-sculpt-beige,https://img.damensch.com/products-old/catalog-shapewear-2-0-evised-beige-10.jpg,11,FAQs,9,Sleeveless Shapewear Vest Sculpt Beige
https://www.damensch.com/p/deo-soft-trunks-klinttblack,https://img.damensch.com/products-old/card-ds-t-solid-feature1.jpg,6,Feature: 3x softer / moisture control,3,Deo Soft Trunks Klinttblack
https://www.damensch.com/p/deo-soft-trunks-klinttblack,https://img.damensch.com/products-old/card-ds-t-solid-feature2.jpg,7,Feature: 5x odour-cancellation,4,Deo Soft Trunks Klinttblack
https://www.damensch.com/p/deo-soft-trunks-klinttblack,https://img.damensch.com/products-old/catalogue-trunk-packs-kb-kb-kb-5.jpg,8,Detail close-up with callouts,7,Deo Soft Trunks Klinttblack
https://www.damensch.com/p/deo-soft-trunks-klinttblack,https://img.damensch.com/products-old/catalogue-trunk-packs-kb-kb-kb-6.jpg,9,Lifestyle - full body,8,Deo Soft Trunks Klinttblack
https://www.damensch.com/p/deo-soft-trunks-klinttblack,https://img.damensch.com/products-old/catalogue-trunk-packs-kb-kb-kb-7.jpg,10,Lifestyle - leaning,9,Deo Soft Trunks Klinttblack
https://www.damensch.com/p/deo-soft-trunks-klinttblack,https://img.damensch.com/products-old/card-ds-t-solid-range.jpg,11,Comparison chart,10,Deo Soft Trunks Klinttblack
https://www.damensch.com/p/deo-soft-trunks-klinttblack,https://img.damensch.com/products-old/card-ds-t-solid-measurement.jpg,12,Size chart,11,Deo Soft Trunks Klinttblack
https://www.damensch.com/p/bonded-solid-trunks-nano-blue,https://img.damensch.com/products-old/bondedtrunknb_8.jpg,8,Feature: Limitless Stretch,8,Bonded Solid Trunks Nano Blue
https://www.damensch.com/p/bonded-solid-trunks-nano-blue,https://img.damensch.com/products-old/bondedtrunknb_9.jpg,9,Size chart,9,Bonded Solid Trunks Nano Blue
https://www.damensch.com/p/bonded-solid-trunks-nano-blue,https://img.damensch.com/products-old/bondedtrunknb_10.jpg,10,Pack-shot,10,Bonded Solid Trunks Nano Blue
https://www.damensch.com/p/sleeveless-shapewear-vest-sleek-black,https://img.damensch.com/products-old/catalog-shapewear-2-0-evised-black-sl-5.jpg,7,Feature: super stretchy comparison,6,Sleeveless Shapewear Vest Sleek Black
https://www.damensch.com/p/sleeveless-shapewear-vest-sleek-black,https://img.damensch.com/products-old/catalog-shapewear-new-s-size.jpg,8,Size chart,8,Sleeveless Shapewear Vest Sleek Black
https://www.damensch.com/p/sleeveless-shapewear-vest-sleek-black,https://img.damensch.com/products-old/catalog-shapewear-2-0-evised-black-sl-10.jpg,9,FAQs,9,Sleeveless Shapewear Vest Sleek Black
https://www.damensch.com/p/breeeze-ultra-light-boxer-shorts-banded-beige,https://img.damensch.com/products-old/catalog-bs-banded-beige-2.jpg,5,Feature: ultra-light fabric / concealed button fly,2,Breeeze Ultra Light Boxer Shorts Banded Beige
https://www.damensch.com/p/breeeze-ultra-light-boxer-shorts-banded-beige,https://img.damensch.com/products-old/catalog-bs-banded-beige-3.jpg,6,Feature: dual side pockets / no-mark waistband,3,Breeeze Ultra Light Boxer Shorts Banded Beige
https://www.damensch.com/p/breeeze-ultra-light-boxer-shorts-banded-beige,https://img.damensch.com/products-old/catalog-bs-banded-beige-6.jpg,7,Comparison: inner vs outer boxers,6,Breeeze Ultra Light Boxer Shorts Banded Beige
https://www.damensch.com/p/breeeze-ultra-light-boxer-shorts-banded-beige,https://img.damensch.com/products-old/catalog-bs-banded-beige-7.jpg,8,Size chart / measurements,7,Breeeze Ultra Light Boxer Shorts Banded Beige
https://www.damensch.com/p/shapewear-vest-crisp-white,https://img.damensch.com/products-old/catalog-shapewear-2-0-evised-white-hs-5.jpg,7,Stretchy comparison / takes shape,7,Shapewear Vest Crisp White
https://www.damensch.com/p/shapewear-vest-crisp-white,https://img.damensch.com/products-old/catalog-shapewear-new-s-size.jpg,8,Size chart,8,Shapewear Vest Crisp White
https://www.damensch.com/p/shapewear-vest-crisp-white,https://img.damensch.com/products-old/catalog-shapewear-2-0-evised-white-hs-10.jpg,9,FAQs,9,Shapewear Vest Crisp White
https://www.damensch.com/p/waffle-full-sleeve-polo-teal-blue,https://img.damensch.com/products-old/catalog-johny-collar-popcorn-t-shirt-teal-blue-2.jpg,5,Side - model,2,Waffle Full Sleeve Polo Teal Blue
https://www.damensch.com/p/waffle-full-sleeve-polo-teal-blue,https://img.damensch.com/products-old/catalog-johny-collar-popcorn-t-shirt-teal-blue-3.jpg,6,Back - model,3,Waffle Full Sleeve Polo Teal Blue
https://www.damensch.com/p/waffle-full-sleeve-polo-teal-blue,https://img.damensch.com/products-old/card-waffle-polo-measurement.jpg,7,Size & fit chart,6,Waffle Full Sleeve Polo Teal Blue
https://www.damensch.com/p/constant-chino-shorts-levin-beige,https://img.damensch.com/products-old/chino-shorts-lb-1.jpg,8,Front/side - model seated,1,Constant Chino Shorts Levin Beige
https://www.damensch.com/p/constant-chino-shorts-levin-beige,https://img.damensch.com/products-old/chino-shorts-lb-7.jpg,9,Fit guide - full body with text,7,Constant Chino Shorts Levin Beige
https://www.damensch.com/p/shapewear-trunk-sculpt-beige,https://img.damensch.com/products-old/shapewear-trunk-howtowear-card.jpg,6,How to wear guide,6,Shapewear Trunk Sculpt Beige
https://www.damensch.com/p/shapewear-trunk-sculpt-beige,https://img.damensch.com/products-old/shapewear-trunk-measurement.jpg,7,Size chart,7,Shapewear Trunk Sculpt Beige
https://www.damensch.com/p/pyjama-pants-siesta-stripes,https://img.damensch.com/products-old/1284735_pajama-siesta-stripes_7.jpg,9,Flatlay with packaging,7,Pyjama Pants Siesta Stripes
https://www.damensch.com/p/statement-polo-wisdom-wine,https://img.damensch.com/products-old/card-textured-polo-measurement.jpg,8,Size & fit chart,7,Statement Polo Wisdom Wine
https://www.damensch.com/p/pyjama-pants-slumber-navy,https://img.damensch.com/products-old/pyjama_pants_slumber_navy_(7).jpg,7,Detail: drawstring,7,Pyjama Pants Slumber Navy
https://www.damensch.com/p/statement-elemental-track-pant-gotham-black,https://img.damensch.com/products-old/pjersey-track-pants-gotham_black3.jpg,7,Fit guide - model w/ fit details,4,Statement Elemental Track Pant Gotham Black
https://www.damensch.com/p/unreal-cosmos-trunk-eclipse-black,https://img.damensch.com/products-old/cosmos-trunks-eclipse_black5.jpg,8,Waistband detail closeup,8,Unreal Cosmos Trunk Eclipse Black
https://www.damensch.com/p/unreal-cosmos-trunk-eclipse-black,https://img.damensch.com/products-old/cosmos-trunks-eclipse_black2.jpg,9,Front - lifestyle (full body),9,Unreal Cosmos Trunk Eclipse Black
https://www.damensch.com/p/unreal-cosmos-trunk-nova-blue,https://img.damensch.com/products-old/card-upd-unreal-cosmos-t-feature3.jpg,8,Feature: Galaxy's Edge waistband,6,Unreal Cosmos Trunk Nova Blue
https://www.damensch.com/p/unreal-cosmos-trunk-nova-blue,https://img.damensch.com/products-old/cosmos-trunks-nova_blue2.jpg,9,Lifestyle - sunglasses model,9,Unreal Cosmos Trunk Nova Blue
https://www.damensch.com/p/vest-round-neck-shifting-sand,https://img.damensch.com/products-old/card-bamboo-vest-feature2.jpg,8,Feature: Anti-bacterial / Thermoregulating,3,Vest Round Neck Shifting Sand
https://www.damensch.com/p/vest-round-neck-shifting-sand,https://img.damensch.com/products-old/card-round-bamboo-vest-measurement.jpg,9,Size chart / Measurements,6,Vest Round Neck Shifting Sand
https://www.damensch.com/p/tank-top-printed-wild-red,https://img.damensch.com/products-old/tank_tops_wild_red_(1).jpg,9,Front - model,6,Tank Top Printed Wild Red
https://www.damensch.com/p/tank-top-printed-wild-red,https://img.damensch.com/products-old/tank_tops_wild_red_(3).jpg,10,Hem / brand tag detail,10,Tank Top Printed Wild Red
https://www.damensch.com/p/tank-top-printed-wild-red,https://img.damensch.com/products-old/pocke-elemental-fluid-tank-tops-measurement-card-one.jpg,11,Size chart,11,Tank Top Printed Wild Red
https://www.damensch.com/p/breeeze-ultra-light-boxer-shorts-striped-blue,https://img.damensch.com/products-old/catalog-bs-striped-blue-2.jpg,5,Feature: ultra-light fabric & concealed button fly,2,Breeeze Ultra Light Boxer Shorts Striped Blue
https://www.damensch.com/p/breeeze-ultra-light-boxer-shorts-striped-blue,https://img.damensch.com/products-old/catalog-bs-striped-blue-3.jpg,6,Feature: dual side pockets & no-mark waistband,3,Breeeze Ultra Light Boxer Shorts Striped Blue
https://www.damensch.com/p/breeeze-ultra-light-boxer-shorts-striped-blue,https://img.damensch.com/products-old/catalog-bs-striped-blue-6.jpg,7,Comparison chart: inner vs outer boxers,6,Breeeze Ultra Light Boxer Shorts Striped Blue
https://www.damensch.com/p/breeeze-ultra-light-boxer-shorts-striped-blue,https://img.damensch.com/products-old/catalog-bs-striped-blue-7.jpg,8,Size chart / measurements,7,Breeeze Ultra Light Boxer Shorts Striped Blue
https://www.damensch.com/p/breeeze-lounge-pyjama-colombo-blue,https://img.damensch.com/products-old/relaxed-pyjamas-colombo-blue-1.jpg,8,Back - model (cropped),1,Breeeze Lounge Pyjama Colombo Blue
https://www.damensch.com/p/breeeze-lounge-pyjama-colombo-blue,https://img.damensch.com/products-old/relaxed-pyjamas-colombo-blue-5.jpg,9,Detail: drawstring waistband,7,Breeeze Lounge Pyjama Colombo Blue
https://www.damensch.com/p/breeeze-lounge-pyjama-colombo-blue,https://img.damensch.com/products-old/breeeze-lounge-pyjamas-measure-cards-solids-new.jpg,10,Size chart,9,Breeeze Lounge Pyjama Colombo Blue
https://www.damensch.com/p/inner-boxer-relaxed-green,https://img.damensch.com/products-old/card-inner-boxers-solid-feature2-new.jpg,9,Logo may vary (old/new look),3,Inner Boxer Relaxed Green
https://www.damensch.com/p/inner-boxer-relaxed-green,https://img.damensch.com/products-old/card-inner-boxers-solid-measurement.jpg,10,Size chart,8,Inner Boxer Relaxed Green
https://www.damensch.com/p/raw-edge-t-shirt-dusty-pink,https://img.damensch.com/products-old/1522087_milky-brown_8.jpg,8,Hem & logo detail,4,Raw Edge T Shirt Dusty Pink
https://www.damensch.com/p/raw-edge-t-shirt-dusty-pink,https://img.damensch.com/products-old/1522087_milky-brown_7.jpg,9,Sleeve detail,8,Raw Edge T Shirt Dusty Pink
https://www.damensch.com/p/value-deal-deo-cotton-trunks-brick-black-hazy-black-ivy-black,https://img.damensch.com/products-old/catalog-brickblack-hazyblack-ivyblack-pack-of-3-trunks-3.jpg,7,Feature: 4-way stretch & extra-soft,3,Value Deal Deo Cotton Trunks Brick Black Hazy Black Ivy Black
https://www.damensch.com/p/value-deal-deo-cotton-trunks-brick-black-hazy-black-ivy-black,https://img.damensch.com/products-old/catalog-brickblack-hazyblack-ivyblack-pack-of-3-trunks-7.jpg,8,Comparison chart (Deo-Soft),7,Value Deal Deo Cotton Trunks Brick Black Hazy Black Ivy Black
https://www.damensch.com/p/value-deal-deo-cotton-trunks-brick-black-hazy-black-ivy-black,https://img.damensch.com/products-old/catalog-deo-cotton-range-card-new.jpg,9,Comparison chart (Deo-Cotton),8,Value Deal Deo Cotton Trunks Brick Black Hazy Black Ivy Black
https://www.damensch.com/p/value-deal-deo-cotton-trunks-brick-black-hazy-black-ivy-black,https://img.damensch.com/products-old/catalog-brickblack-hazyblack-ivyblack-pack-of-3-trunks-9.jpg,10,Pack of 3 packaging,9,Value Deal Deo Cotton Trunks Brick Black Hazy Black Ivy Black
https://www.damensch.com/p/gym-supporter-turbo-black,https://img.damensch.com/products-old/catalog-gym-support-black-7.jpg,8,Three-quarter - model,7,Gym Supporter Turbo Black
https://www.damensch.com/p/gym-supporter-turbo-black,https://img.damensch.com/products-old/catalog-gym-support-black-9.jpg,9,Size chart,9,Gym Supporter Turbo Black
https://www.damensch.com/p/constant-chino-shorts-rifle-green-m,https://img.damensch.com/products-old/chino-shorts-lg-1.jpg,4,"Three-quarter - model, foot on stool",1,Constant Chino Shorts Rifle Green M
https://www.damensch.com/p/constant-chino-shorts-rifle-green-m,https://img.damensch.com/products-old/chino-shorts-lg-3.jpg,5,"Side - shorts on model, hand in pocket",3,Constant Chino Shorts Rifle Green M
https://www.damensch.com/p/constant-chino-shorts-rifle-green-m,https://img.damensch.com/products-old/chino-shorts-lg-4.jpg,6,Back - shorts on model,4,Constant Chino Shorts Rifle Green M
